Name;Type;Damage;Attacks;Decay;Ammo
0x0F382C8C91E58C8B24DF;Plasma;134;33;8.121;2438
0x0F382C8C91E58C82AA7 (L);Plasma;75;24;4.551;1364
0x0F382C8C91E58C8273C0 (L);Plasma;97;26;5.111;1764
0x0F382C8C91E58C8460 (L);Plasma;40;23;2.421;728
1 Star Stunna;BLP;22;83;2.800;255
2.H.T.S. FlameThrower (L);BLP;30;67;0.030;723
2.H.T.S. Scorpion (L);Laser;30;67;0.030;723
2.H.T.S. Shotgun (L);BLP;30;67;0.030;723
2 Star Stunna;BLP;22;83;2.800;255
3 Star Stunna;BLP;22;83;2.800;255
4 Star Stunna;BLP;22;83;2.800;255
5 Star Stunna;BLP;22;83;2.800;255
A-3 Justifier Mk. 1;Laser;36;40;0.890;800
A-3 Justifier Mk. 1, Ancient;Laser;36;40;0.890;800
A-3 Justifier Mk. 2;Laser;43;40;0.460;1000
A-3 Justifier Mk. 2, Adjusted;Laser;43;44;0.396;1000
A-3 Justifier Mk. 2, Ancient;Laser;43;40;0.460;1000
A-3 Justifier Mk. 2, Ancient, Improved;Laser;72;67;0.250;1500
A-3 Justifier Mk. 2, Improved;Laser;72;60;0.255;1500
A-3 Justifier Mk. 2, Improved, SGA Edition;Laser;73;60;0.879;1500
A-3 Justifier Mk. 2, Improved, TWEN Edition;Laser;72;67;0.229;1350
A-3 Justifier Mk. 2, Modified;Laser;88;63;2.200;1800
A-3 Justifier Mk. 2, SGA Edition;Laser;45;41;0.947;1000
A-3 Justifier Mk. 2, TWEN Edition;Laser;43;44;0.414;900
A-3 Justifier Mk. 3;Laser;49;43;0.850;1100
A-3 Justifier Mk. 3, Improved;Laser;80;63;2.360;1600
A-3 Justifier Mk. 4;Laser;63;40;1.220;1400
A-3 Justifier Mk. 5;Laser;59;52;1.250;1300
A-3 Justifier Mk. 5, Adjusted;Laser;61;57;1.560;1300
A-3 Justifier Mk. 5, Ancient, Adjusted;Laser;61;57;1.310;1300
A-3 Justifier Mk. 5, Mentor Edition;Laser;63;54;1.360;1300
A-3 Punisher Mk. 1;Laser;21;32;0.290;500
A-3 Punisher Mk. 1, Ancient;Laser;21;32; ;500
A-3 Punisher Mk. 2;Laser;26;33;0.480;600
A-3 Punisher Mk. 2, SGA Edition;Laser;28;33;0.490;600
A&P Series Brave;Laser;16;27;0.060;400
A&P Series Brave, Ancient;Laser;16;27; ;400
A&P Series Brave, Mentor Edition;Laser;18;30;0.300;400
A&P Series Freedom;Laser;34;35;0.440;800
A&P Series Hero;Laser;30;35;0.500;700
A&P Series Hero, Adjusted;Laser;44;46;0.280;1000
